config_name,seed,steps_to_target,target_reached,sigma_mean,sigma_std,adaptive_process_noise,adaptive_measurement_noise,signal_max,method
Adaptive EKF,35,18793,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,37,887,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,37,901,True,0.8036124887996511,0.2288458457436412,True,False,10,Coupled EKF
Adaptive EKF,37,667,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,16,328677,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,38,1004,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,38,1434,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,39,1566,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,38,3000,True,0.6118603983297654,0.2485635297040563,True,False,10,Coupled EKF
Adaptive EKF,39,2291,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,21,257194,True,0.9904172805298833,0.05712878701712031,True,False,10,Coupled EKF
Adaptive EKF,36,34357,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,40,32370,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,41,5858,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,41,956,True,0.8083602550151839,0.2082994046840025,True,False,10,Coupled EKF
Coupled EKF,40,34768,True,0.9188966484170962,0.17486553387164086,True,False,10,Coupled EKF
Adaptive EKF,40,31970,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,39,60154,True,0.9788795467604963,0.0907584563349974,True,False,10,Coupled EKF
Coupled EKF,42,2592,True,0.7563952411631992,0.23337178713260842,True,False,10,Coupled EKF
Standard EKF,42,20436,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,43,901,True,0.8311430017679948,0.21769851178444755,True,False,10,Coupled EKF
Adaptive EKF,43,1345,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,42,10725,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,24,252793,True,1.0,0.0,False,True,10,Adaptive EKF
Adaptive EKF,44,1699,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,44,17721,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,45,935,True,0.7411334512747275,0.23460089535112694,True,False,10,Coupled EKF
Standard EKF,43,53425,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,46,1846,True,1.0,0.0,False,False,10,Standard EKF
Coupled EKF,46,1252,True,0.8626630039276255,0.18367323887760656,True,False,10,Coupled EKF
Coupled EKF,44,53579,True,0.9722834487902888,0.09741176406457142,True,False,10,Coupled EKF
Standard EKF,24,350952,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,13,552261,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,41,101203,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,47,27967,True,0.9195694835897882,0.1732510889324592,True,False,10,Coupled EKF
Coupled EKF,48,4585,True,0.8031461662868631,0.21389754442410935,True,False,10,Coupled EKF
Adaptive EKF,48,1666,True,1.0,0.0,False,True,10,Adaptive EKF
Standard EKF,35,216766,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,45,99970,True,1.0,0.0,False,False,10,Standard EKF
Standard EKF,27,335829,True,1.0,0.0,False,False,10,Standard EKF
Adaptive EKF,49,7981,True,1.0,0.0,False,True,10,Adaptive EKF
Coupled EKF,50,1135,True,0.7953204408439034,0.2308966565100519,True,False,10,Coupled EKF
