config_name,seed,steps_to_target,target_reached,sigma_mean,sigma_std,adaptive_process_noise,adaptive_measurement_noise,signal_max,method
Standard EKF,63,204992,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,69,160768,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,84,1713,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,75,135892,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,85,1039,True,0.8672027822111558,0.18058646840240866,True,False,5,Signal-aware EKF
Adaptive EKF,85,1575,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,86,1240,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,84,44676,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,86,15401,True,0.9367301737645842,0.14297334991831542,True,False,5,Signal-aware EKF
Standard EKF,72,195410,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,80,114318,True,0.9811723338051584,0.08019980874801673,True,False,5,Signal-aware EKF
Signal-aware EKF,75,165738,True,0.9781746866594698,0.0831362954560982,True,False,5,Signal-aware EKF
Adaptive EKF,87,10977,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,88,9519,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,88,2085,True,0.9167578563598731,0.17230391812795437,True,False,5,Signal-aware EKF
Adaptive EKF,88,2457,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,83,118814,True,0.9905514049809903,0.05987626941633153,True,False,5,Signal-aware EKF
Adaptive EKF,68,251785,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,89,12227,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,90,5812,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,90,2445,True,0.8344273256243158,0.19863628866123126,True,False,5,Signal-aware EKF
Standard EKF,91,490,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,91,876,True,0.7846903846876219,0.20974553233772977,True,False,5,Signal-aware EKF
Adaptive EKF,90,2271,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,91,14648,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,84,104993,True,0.985243062901952,0.07102848840654419,True,False,5,Signal-aware EKF
Adaptive EKF,86,95036,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,93,1430,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,81,181966,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,93,1193,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,89,47591,True,0.9851823148746413,0.07319131872287901,True,False,5,Signal-aware EKF
Signal-aware EKF,93,19388,True,0.9439745736764709,0.13570196180803673,True,False,5,Signal-aware EKF
Standard EKF,92,42875,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,94,1525,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,94,19648,True,0.9570217875741924,0.11805475370890932,True,False,5,Signal-aware EKF
Adaptive EKF,95,2929,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,85,156268,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,95,38392,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,96,1095,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,97,23355,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,97,3336,True,0.8027719906404204,0.19867657082956472,True,False,5,Signal-aware EKF
Standard EKF,96,58206,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,95,60012,True,0.9839332011376951,0.07664363113246593,True,False,5,Signal-aware EKF
Adaptive EKF,97,1268,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,98,1184,True,0.8484759442221167,0.1958440044849207,True,False,5,Signal-aware EKF
Adaptive EKF,98,1162,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,96,52148,True,0.9906082935252316,0.055128287489165796,True,False,5,Signal-aware EKF
Standard EKF,98,4691,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,99,1426,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,94,100158,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,100,1704,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,83,272753,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,89,157166,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,101,1181,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,101,4912,True,0.8111767307898076,0.2024271200621696,True,False,5,Signal-aware EKF
Signal-aware EKF,102,7270,True,0.9483625777522958,0.1252099213868794,True,False,5,Signal-aware EKF
Standard EKF,101,25224,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,100,37737,True,0.9568320091544461,0.11236259499663609,True,False,5,Signal-aware EKF
Standard EKF,87,212176,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,87,196001,True,0.9947469186607478,0.042880617116534854,True,False,5,Signal-aware EKF
Signal-aware EKF,103,1434,True,0.8475617780931991,0.19185339355372003,True,False,5,Signal-aware EKF
Adaptive EKF,103,2014,True,1.0,0.0,False,True,5,Adaptive EKF
Adaptive EKF,104,586,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,104,2003,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,104,1185,True,0.7706862580658884,0.20720373750381996,True,False,5,Signal-aware EKF
Standard EKF,105,1422,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,105,1384,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,105,1463,True,0.8145328217976724,0.22842785694229512,True,False,5,Signal-aware EKF
Standard EKF,106,1039,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,106,864,True,0.9098147392198702,0.1582060555867676,True,False,5,Signal-aware EKF
Standard EKF,107,1278,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,106,2509,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,103,20961,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,100,78061,True,1.0,0.0,False,False,5,Standard EKF
Standard EKF,99,88646,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,108,26582,True,0.9785607274693566,0.09066921045397185,True,False,5,Signal-aware EKF
Adaptive EKF,108,7436,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,109,2939,True,1.0,0.0,False,False,5,Standard EKF
Adaptive EKF,109,1715,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,92,179527,True,0.9930727553611358,0.047449975056584916,True,False,5,Signal-aware EKF
Signal-aware EKF,99,89009,True,0.9913320924095217,0.05338951314022262,True,False,5,Signal-aware EKF
Standard EKF,110,6456,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,110,8575,True,0.8573100020840287,0.1910301322092374,True,False,5,Signal-aware EKF
Standard EKF,111,15047,True,1.0,0.0,False,False,5,Standard EKF
Signal-aware EKF,111,14528,True,0.9683861884050392,0.1027095336025354,True,False,5,Signal-aware EKF
Adaptive EKF,83,362019,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,112,1268,True,0.8655696331270475,0.18961856685146644,True,False,5,Signal-aware EKF
Adaptive EKF,107,70598,True,1.0,0.0,False,True,5,Adaptive EKF
Signal-aware EKF,109,34984,True,0.9785151029427793,0.08383962747188121,True,False,5,Signal-aware EKF
Adaptive EKF,112,9879,True,1.0,0.0,False,True,5,Adaptive EKF
Standard EKF,112,19673,True,1.0,0.0,False,False,5,Standard EKF
